Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Accession-2	Names	Object ID	Regulation - genes directly activated by gene	Accession-1	Regulation - genes directly inhibited by gene	Accession-1	GO terms (biological process)	GO terms (cellular component)	GO terms (molecular function)	Transcription Units
rsxE	b1632	1710828	1711523	SoxR [2Fe-2S] reducing system protein RsxE	ECK1628	rsxE // ydgQ // b1632 // ECK1628	G6876		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	electron transport chain	membrane // plasma membrane		rsxABCDGE-nth // ydgK-rsxABCDGE-nth
yfjS	b2636	2770681	2771124	CP4-57 prophage; inner membrane lipoprotein YfjS	ECK2632	yfjS // b2636 // ECK2632	G7371		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		plasma membrane // membrane		yfjR-ypjK-yfjS-yfjT
insC3	b1997	2069815	2070180	CP4-44 prophage; IS2 insertion element repressor InsA	ECK0357	insC3 // yi21-3 // b1997 // ECK0357	G7077		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	DNA transposition // transposition // DNA recombination	cytosol	transposase activity // DNA binding	insC3D3CD3
xylE	b4031	4240779	4242254	D-xylose:H<sup>+</sup> symporter	ECK4023	xylE // b4031 // ECK4023	EG11076		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	organic substance transport // transmembrane transport // D-xylose transmembrane transport	membrane // plasma membrane	glucose transmembrane transporter activity // transmembrane transporter activity // symporter activity // D-xylose:proton symporter activity	xylE
rdlD	b4454	3700136	3700199	antisense regulatory RNA RdlD	ECK3525	rdlD // b4454 // ECK3525	G0-9042		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	negative regulation of cytoplasmic translation		translation repressor activity	rdlD
amiA	b2435	2552352	2553221	<i>N</i>-acetylmuramoyl-L-alanine amidase A	ECK2430	amiA // yfeE // b2435 // ECK2430	EG11823		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	cytokinesis // cell wall organization // peptidoglycan catabolic process // cellular response to antibiotic // cell division	periplasmic space // outer membrane-bounded periplasmic space	hydrolase activity // zinc ion binding // N-acetylmuramoyl-L-alanine amidase activity	amiA-hemF
hxpA	b2293	2411439	2412089	hexitol phosphatase A	ECK2287	hxpA // yfbT // b2293 // ECK2287	G7187		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		cytosol	catalytic activity // 2-deoxyglucose-6-phosphatase activity // beta-phosphoglucomutase activity // metal ion binding // hydrolase activity // cobalt ion binding // manganese ion binding // sorbitol-6-phosphatase activity // mannitol-1-phosphatase activity // magnesium ion binding // glycerol-3-phosphatase activity // sugar-phosphatase activity	yfbU-hxpA
mutY	b2961	3103013	3104065	adenine DNA glycosylase	ECK2956	mutY // micA // b2961 // ECK2956	EG10627		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	response to stress // mismatch repair // metabolic process // DNA damage response // DNA repair // base-excision repair	outer membrane-bounded periplasmic space // cytosol	adenine/guanine mispair binding // 8-oxo-7,8-dihydroguanine DNA N-glycosylase activity // oxidized purine DNA binding // purine-specific mismatch base pair DNA N-glycosylase activity // catalytic activity // DNA N-glycosylase activity // DNA binding // 4 iron, 4 sulfur cluster binding // iron-sulfur cluster binding // metal ion binding // hydrolase activity, acting on glycosyl bonds // hydrolase activity	mutY-yggX-mltC // mutY-yggX // mutY-yggX-mltC // mutY-yggX // mutY-yggX-mltC-nupG // mutY-yggX-mltC-nupG
rhaS	b3905	4097736	4098572	DNA-binding transcriptional activator RhaS	ECK3898	rhaS // rhaC2 // b3905 // ECK3898	EG10843	rhaS // rhaR // rhaD // rhaA // rhaB // rhaT	b3905 // b3906 // b3902 // b3903 // b3904 // b3907		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	positive regulation of DNA-templated transcription // rhamnose metabolic process // regulation of DNA-templated transcription	cytoplasm // cytosol	sequence-specific DNA binding // DNA binding // DNA-binding transcription factor activity	rhaSR // rhaSR
ddpB	b1486	1559907	1560929	putative D,D-dipeptide ABC transporter membrane subunit DdpB	ECK1480	ddpB // yddR // b1486 // ECK1480	G6780		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	dipeptide transport // dipeptide transmembrane transport // peptide transport // protein transport // transmembrane transport	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing // membrane // ATP-binding cassette (ABC) transporter complex // plasma membrane	dipeptide transmembrane transporter activity	ddpXABCDF // ddpXABCDF // ddpXABCDF
msrC	b1832	1915631	1916128	free methionine-(<i>R</i>)-sulfoxide reductase	ECK1831	msrC // yebR // b1832 // ECK1831	G7005		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		cytosol	oxidoreductase activity // protein homodimerization activity // L-methionine-(R)-S-oxide reductase activity	msrC
insH3	b0656	687997	688977	IS<i>5</i> transposase and trans-activator	ECK0261	insH3 // trs5-3 // yi52_3 // b0656 // ECK0261	G6360		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	DNA transposition // transposition // DNA recombination	cytosol	transposase activity // DNA binding	insH3
mtlA	b3599	3772281	3774194	mannitol-specific PTS enzyme IICBA component	ECK3588	mtlA // mtlC // b3599 // ECK3588	EG10615		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	organic substance transport // phosphorylation // sorbitol transmembrane transport // mannitol transmembrane transport // phosphoenolpyruvate-dependent sugar phosphotransferase system	membrane // plasma membrane	protein-phosphocysteine-sugar phosphotransferase activity // protein-N(PI)-phosphohistidine-mannitol phosphotransferase system transmembrane transporter activity // kinase activity // transferase activity // protein-N(PI)-phosphohistidine-sugar phosphotransferase activity // protein binding // protein-phosphocysteine-mannitol phosphotransferase system transporter activity	mtlADR
fnrS	b4699	1409129	1409250	small regulatory RNA FnrS	ECK4511	fnrS // rydA // b4699 // ECK4511	G0-10677		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	sRNA-mediated post-transcriptional gene silencing		mRNA binding // protein binding	fnrS
ddlA	b0381	399829	400923	D-alanine&mdash;D-alanine ligase A	ECK0376	ddlA // b0381 // ECK0376	EG10213		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	cell wall organization // regulation of cell shape // peptidoglycan biosynthetic process // response to X-ray	cytoplasm // cytosol	catalytic activity // ligase activity // nucleotide binding // metal ion binding // ATP binding // D-alanine-D-alanine ligase activity	ddlA
ydjX	b1750	1833401	1834111	DedA family protein YdjX	ECK1748	ydjX // b1750 // ECK1748	G6945		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		membrane // plasma membrane		ydjXYZ-ynjABCD
ligA	b2411	2528161	2530176	DNA ligase	ECK2406	ligA // dnaL // lig // lop // pdeC // b2411 // ECK2406	EG10534		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	DNA metabolic process // DNA damage response // DNA replication // DNA repair // base-excision repair, DNA ligation // DNA ligation	cytosol	protein binding // ligase activity // metal ion binding // NAD+ binding // DNA binding // DNA ligase (NAD+) activity	ligA-ypeB
malP	b3417	3550080	3552473	maltodextrin phosphorylase	ECK3404	malP // malA // blu // b3417 // ECK3404	EG10560		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	metabolic process // carbohydrate metabolic process // glycogen catabolic process // alpha-glucan catabolic process	cytoplasm // cytosol	linear malto-oligosaccharide phosphorylase activity // SHG alpha-glucan phosphorylase activity // glycosyltransferase activity // transferase activity // 1,4-alpha-oligoglucan phosphorylase activity // catalytic activity // glycogen phosphorylase activity // protein homodimerization activity // pyridoxal phosphate binding // maltodextrin phosphorylase activity	malPQ
mdtH	b1065	1124118	1125326	multidrug efflux pump MdtH	ECK1050	mdtH // yceL // b1065 // ECK1050	G6559		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	transmembrane transport // response to antibiotic	membrane // plasma membrane	transmembrane transporter activity	mdtH
nhoA	b1463	1534024	1534869	arylamine <i>N</i>-acetyltransferase	ECK1457	nhoA // yddI // b1463 // ECK1457	G6770		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		cytoplasm // cytosol	acetyltransferase activity // transferase activity // acyltransferase activity // arylamine N-acetyltransferase activity // protein homodimerization activity // N-hydroxyarylamine O-acetyltransferase activity	nhoA
insAB5		1978518	1979215	InsAB' transposase		insAB5	G0-10539		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).				insA5B5AB5
malK	b4035	4246784	4247899	maltose ABC transporter ATP binding subunit	ECK4027	malK // malB // b4035 // ECK4027	EG10558		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	organic substance transport // negative regulation of transmembrane transport // negative regulation of maltose transport // transmembrane transport // maltose transmembrane transport // carbohydrate transport // maltose transport // maltodextrin transmembrane transport	protein-containing complex // enzyme IIA-maltose transporter complex // ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing // membrane // maltose transport complex // plasma membrane // ATP-binding cassette (ABC) transporter complex	transmembrane transporter activity // ATP hydrolysis activity // ABC-type transporter activity // nucleotide binding // DNA-binding transcription factor binding // protein binding // ATP binding // ABC-type maltose transporter activity	malK-lamB-malM
micC	b4427	1437121	1437231	small regulatory RNA MicC	ECK1373	micC // IS063 // tke8 // b4427 // ECK1373	G0-8901		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	negative regulation of bacterial-type flagellum-dependent cell motility // sRNA-mediated post-transcriptional gene silencing // negative regulation of translational initiation		mRNA 5'-UTR binding	micC
mipA	b1782	1865726	1866472	MltA-interacting protein	ECK1780	mipA // yeaF // b1782 // ECK1780	G6968		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	peptidoglycan biosynthetic process	membrane // cell outer membrane	protein-macromolecule adaptor activity	mipA
ycgN	b1181	1228815	1229276	putative metal-chelating domain-containing protein YcgN	ECK1169	ycgN // b1181 // ECK1169	G6618		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		cytosol		ycgN
dinD	b3645	3817760	3818584	DNA damage-inducible protein D	ECK3635	dinD // pcsA // yicD // b3645 // ECK3635	EG11193		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	DNA damage response // SOS response	cytosol		dinD
fucU	b2804	2938888	2939310	L-fucose mutarotase	ECK2799	fucU // b2804 // ECK2799	EG10355		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	fucosylation // L-fucose metabolic process // monosaccharide metabolic process // fucose metabolic process	cytosol // cytoplasm	D-ribose pyranase activity // monosaccharide binding // racemase and epimerase activity // isomerase activity // fucose binding // identical protein binding // L-fucose mutarotase activity // racemase and epimerase activity, acting on carbohydrates and derivatives	fucU // fucPIKUR
lspA	b0027	25207	25701	lipoprotein signal peptidase	ECK0028	lspA // lsp // b0027 // ECK0028	EG10548		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	proteolysis // lipoprotein biosynthetic process via signal peptide cleavage	membrane // plasma membrane	hydrolase activity // peptidase activity // aspartic-type endopeptidase activity // endopeptidase activity	ileS-lspA-fkpB-ispH // ileS-lspA-fkpB-ispH // ileS-lspA-fkpB-ispH // lsp-fkpB-ispH // ribF-ileS-lspA-fkpB-ispH
elfC	b0940	999216	1001816	putative fimbrial usher protein ElfC	ECK0931	elfC // ycbS // b0940 // ECK0931	G6482		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	pilus assembly // transmembrane transport // pilus organization	membrane // cell outer membrane	heparin binding // fimbrial usher porin activity	elfDCG-ycbUVF
fepA	b0584	610254	612494	ferric enterobactin outer membrane transporter	ECK0576	fepA // cbr // cbt // fep // feuB // b0584 // ECK0576	EG10293		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	iron ion transport // intracellular iron ion homeostasis // siderophore transmembrane transport // enterobactin transport // siderophore transport // monoatomic ion transport // siderophore-dependent iron import into cell // ferric-enterobactin import into cell // colicin transport	transmembrane transporter complex // cell envelope // membrane // cell outer membrane	enterobactin binding // siderophore-iron transmembrane transporter activity // enterobactin transmembrane transporter activity // signaling receptor activity // siderophore uptake transmembrane transporter activity // protein domain specific binding // protein binding // ferric-enterobactin transmembrane transporter activity // colicin transmembrane transporter activity // ligand-gated channel activity	fepA-entD // fepA-entD
chbR	b1735	1818605	1819447	ChbR	ECK1733	chbR // celD // b1735 // ECK1733	EG10143	chbG // chbF // chbR // chbA // chbC // chbB	b1733 // b1734 // b1735 // b1736 // b1737 // b1738	chbG // chbF // chbR // chbA // chbC // chbB	b1733 // b1734 // b1735 // b1736 // b1737 // b1738	regulation of DNA-templated transcription // negative regulation of DNA-templated transcription	cytosol	protein homodimerization activity // sequence-specific DNA binding // DNA binding // DNA-binding transcription factor activity // core promoter sequence-specific DNA binding	chbBCARFG
sibE	b4611	3195097	3195240	small RNA SibE	ECK4420	sibE // QUAD1e // rygE // b4611 // ECK4420	G0-10602		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	regulatory ncRNA-mediated post-transcriptional gene silencing			sibE
amiB	b4169	4396065	4397402	<i>N</i>-acetylmuramoyl-L-alanine amidase B	ECK4165	amiB // yjeD // b4169 // ECK4165	EG11363		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	cytokinesis // cell wall organization // peptidoglycan catabolic process // cell division // FtsZ-dependent cytokinesis	periplasmic space // outer membrane-bounded periplasmic space	hydrolase activity // N-acetylmuramoyl-L-alanine amidase activity	tsaE-amiB-mutL-miaA-hfq-hflXKC // yjeFE-amiB-mutL-miaA-hfq-hflXKC // yjeFE-amiB-mutL-miaA-hfq-hflXKC // yjeFE-amiB-mutL-miaA-hfq-hflXKC
ybgQ	b0718	749722	752169	putative fimbrial usher protein YbgQ	ECK0707	ybgQ // b0718 // ECK0707	G6387		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	transmembrane transport // pilus assembly	membrane // cell outer membrane	fimbrial usher porin activity	ybgQPO
dam	b3387	3515077	3515913	DNA adenine methyltransferase	ECK3374	dam // b3387 // ECK3374	EG10204		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	macromolecule modification // DNA replication // methylation // DNA-templated DNA replication // response to UV // bacterial-type DNA replication initiation // mismatch repair	cytosol	DNA binding // protein binding // transferase activity // methyltransferase activity // nucleic acid binding // S-adenosyl-L-methionine binding // sequence-specific DNA binding // site-specific DNA-methyltransferase (adenine-specific) activity	dam-rpe-gph-trpS // dam-rpe-gph-trpS // damX-dam-rpe-gph-trpS // aroKB-damX-dam-rpe-gph-trpS // aroKB-damX-dam-rpe-gph-trpS
araC	b0064	70387	71265	AraC	ECK0065	araC // b0064 // ECK0065	EG10054	ygeA // araE // araH // araG // araF // araJ // araC // araD // araA // araB	b2840 // b2841 // b4460 // b1900 // b1901 // b0396 // b0064 // b0061 // b0062 // b0063	yjfF // ytfT // ytfR // ytfQ // ydeM // ydeN // xylB // xylA // araC // araD // araA // araB	b4231 // b4230 // b4485 // b4227 // b1497 // b1498 // b3564 // b3565 // b0064 // b0061 // b0062 // b0063	negative regulation of DNA-templated transcription // regulation of DNA-templated transcription // arabinose catabolic process	protein-DNA complex // cytoplasm // cytosol	DNA-binding transcription repressor activity // transcription cis-regulatory region binding // identical protein binding // protein binding // sequence-specific DNA binding // DNA-binding transcription factor activity // DNA binding	araC
allW	b0511	537633	539087	allantoin transporter	ECK0504	allW // allP // glxB2 // ybbW // b0511 // ECK0504	G6280		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	purine nucleobase metabolic process // nucleobase transport // allantoin transport // transmembrane transport	membrane // plasma membrane	symporter activity // nucleobase transmembrane transporter activity // transmembrane transporter activity	gcl-hyi-glxR-ybbVW-allB-ybbY-glxK
yaiI	b0387	405764	406222	DUF188 domain-containing protein YaiI	ECK0382	yaiI // b0387 // ECK0382	G6230		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		cytosol	protein binding	yaiI
cirA	b2155	2244778	2246769	iron-catecholate outer membrane transporter CirA	ECK2148	cirA // cir // feuA // b2155 // ECK2148	EG10155		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	iron ion transport // intracellular iron ion homeostasis // siderophore-dependent iron import into cell // bacteriocin transport // monoatomic ion transport // siderophore transmembrane transport	transmembrane transporter complex // membrane // cell outer membrane	siderophore uptake transmembrane transporter activity // siderophore-iron transmembrane transporter activity // colicin transmembrane transporter activity // signaling receptor activity	cirA // cirA
mhpA	b0347	368611	370275	3-(3-hydroxyphenyl)propanoate hydroxylase	ECK0344	mhpA // b0347 // ECK0344	M010		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	aromatic compound catabolic process // 3-phenylpropionate catabolic process // 3-(3-hydroxy)phenylpropionate catabolic process	cytosol	oxidoreductase activity // identical protein binding // FAD binding // 3-(3-hydroxyphenyl)propionate hydroxylase activity	mhpABCDFE
sibB	b4437	2153646	2153781	small RNA SibB	ECK2069	sibB // QUAD1b // tpe60 // ryeD // b4437 // ECK2069	G0-8885		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	regulatory ncRNA-mediated post-transcriptional gene silencing			sibB
dacA	b0632	662752	663963	D-alanyl-D-alanine carboxypeptidase DacA	ECK0625	dacA // pfv // b0632 // ECK0625	EG10201		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	cell wall organization // peptidoglycan biosynthetic process // proteolysis // peptidoglycan metabolic process // cell division // regulation of cell shape	membrane // outer membrane-bounded periplasmic space // plasma membrane	hydrolase activity // peptidase activity // protein binding // protein homodimerization activity // beta-lactamase activity // penicillin binding // carboxypeptidase activity // serine-type D-Ala-D-Ala carboxypeptidase activity	dacA
yciY	b4595	1308788	1308961	uncharacterized protein YciY	ECK4405	yciY // b4595 // ECK4405	G0-8891		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).				yciY
parC	b3019	3163715	3165973	DNA topoisomerase IV subunit A	ECK3010	parC // b3019 // ECK3010	EG10686		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	chromosome organization // DNA metabolic process // plasmid partitioning // sister chromatid cohesion // chromosome segregation // DNA topological change	membrane // plasma membrane // chromosome // DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) complex // extrinsic component of plasma membrane // cytoplasm // cytosol	ATP binding // DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity // protein binding // isomerase activity // DNA topoisomerase activity // DNA binding	parC
alsR	b4089	4312101	4312991	DNA-binding transcriptional repressor AlsR	ECK4082	alsR // yjcY // rpiR // b4089 // ECK4082	G7821		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	alsE // alsC // alsA // alsB // alsR // rpiB	b4085 // b4086 // b4087 // b4088 // b4089 // b4090	carbohydrate derivative metabolic process // regulation of DNA-templated transcription // negative regulation of DNA-templated transcription	cytosol	carbohydrate derivative binding // DNA-binding transcription factor activity // DNA binding	alsRBACE // alsRBACE
yhdY	b3270	3421325	3422428	putative ABC transporter membrane subunit YhdY	ECK3257	yhdY // b3270 // ECK3257	EG12836		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	peptide transport // nitrogen compound transport // transmembrane transport // amino acid transport	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing // membrane // ATP-binding cassette (ABC) transporter complex // plasma membrane	transmembrane transporter activity	yhdWXYZ
ytiE	b4823	4568692	4568727	protein YtiE	ECK4680	ytiE // b4823 // ECK4680	G0-17097		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).				
dxr	b0173	193521	194717	1-deoxy-D-xylulose 5-phosphate reductoisomerase	ECK0172	dxr // yaeM // ispC // b0173 // ECK0172	EG12715		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	terpenoid biosynthetic process // isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway involved in terpenoid biosynthetic process // isoprenoid biosynthetic process // isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway	Dxr protein complex // plasma membrane // cytosol	oxidoreductase activity // NADPH binding // metal ion binding // identical protein binding // manganese ion binding // 1-deoxy-D-xylulose-5-phosphate reductoisomerase activity	dxr-uppS-cdsA
cbrC	b3717	3898022	3898609	PF03691 family colicin E2 tolerance protein CbrC	ECK3710	cbrC // yieJ // b3717 // ECK3710	EG11727		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	bacteriocin immunity	cytosol		cbrBC // cbrC
hcaC	b2540	2670908	2671228	putative 3-phenylpropionate/cinnamate dioxygenase ferredoxin subunit	ECK2537	hcaC // yfhW // hcaa3 // phdB // b2540 // ECK2537	G7334		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	aromatic compound catabolic process // 3-phenylpropionate catabolic process	3-phenylpropionate dioxygenase complex	3-phenylpropionate dioxygenase activity // iron-sulfur cluster binding // metal ion binding // 2 iron, 2 sulfur cluster binding	hcaEFCBD
cyaR	b4438	2167114	2167200	small regulatory RNA CyaR	ECK2078	cyaR // ryeE // b4438 // ECK2078	G0-8878		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	regulatory ncRNA-mediated post-transcriptional gene silencing		regulatory RNA binding // mRNA binding // mRNA 5'-UTR binding // protein binding	cyaR // cyaR // cyaR
murB	b3972	4172057	4173085	UDP-<i>N</i>-acetylenolpyruvoylglucosamine reductase	ECK3964	murB // yijB // b3972 // ECK3964	EG11205		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	cell wall organization // cell division // regulation of cell shape // cell cycle // peptidoglycan biosynthetic process	cytoplasm // cytosol	FAD binding // oxidoreductase activity // flavin adenine dinucleotide binding // UDP-N-acetylmuramate dehydrogenase activity	murB-birA
ispE	b1208	1262026	1262877	4-(cytidine 5'-diphospho)-2-<i>C</i>-methyl-D-erythritol kinase	ECK1196	ispE // ipk // ychB // b1208 // ECK1196	EG11294		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	terpenoid biosynthetic process // isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway // phosphorylation // isoprenoid biosynthetic process	cytosol	protein binding // transferase activity // kinase activity // nucleotide binding // ATP binding // 4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase activity	lolB-ispE-prs
naRNA5		4325905	4325981	naRNA5		naRNA5	G0-16698		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).				
tus	b1610	1684259	1685188	DNA replication terminus site-binding protein	ECK1605	tus // tau // b1610 // ECK1605	EG11038		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	DNA replication // replication fork arrest involved in DNA replication termination // DNA replication termination	cytoplasm // cytosol	DNA binding // sequence-specific DNA binding	tus
paaF	b1393	1457497	1458264	putative 2,3-dehydroadipyl-CoA hydratase	ECK1390	paaF // ydbR // ydbS // b1393 // ECK1390	G6714		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	fatty acid beta-oxidation // fatty acid metabolic process // lipid metabolic process // phenylacetate catabolic process	catalytic complex // cytosol // plasma membrane	lyase activity // catalytic activity // identical protein binding // protein binding // enoyl-CoA hydratase activity	paaABCDEFGHIJK
dppB	b3543	3704771	3705790	dipeptide ABC transporter membrane subunit DppB	ECK3530	dppB // b3543 // ECK3530	EG12625		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	dipeptide transport // heme transmembrane transport // transmembrane transport // peptide transport // protein transport // dipeptide transmembrane transport // heme transport	membrane // ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing // plasma membrane	dipeptide transmembrane transporter activity	dppBCDF // dppABCDF
nc1		297137	297304	small noncoding RNA involved in nucleoid organization		nc1	G0-10738		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	nucleoid organization	bacterial nucleoid	protein binding	
ispA	b0421	440202	441101	geranyl diphosphate/farnesyl diphosphate synthase	ECK0415	ispA // b0421 // ECK0415	EG10508		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	isoprenoid biosynthetic process // geranyl diphosphate biosynthetic process // farnesyl diphosphate biosynthetic process	cytoplasm // cytosol	prenyltransferase activity // protein binding // transferase activity // metal ion binding // geranyltranstransferase activity // dimethylallyltranstransferase activity	xseB-ispA-dxs-yajO
yfjZ	b2645	2777115	2777432	CP4-57 prophage; putative antitoxin of the YpjF-YfjZ toxin-antitoxin system	ECK2642	yfjZ // b2645 // ECK2642	G7380		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	positive regulation of cytoskeleton organization	cytosol		yfjXY-ypjJ-yfjZ-ypjF
